"filename", "language", "ui", "C++", "Markdown", "PowerShell", "TypeScript", "Properties", "Python", "HTML", "QRC", "CSS", "JavaScript", "Makefile", "XML", "comment", "blank", "total"
"d:\Qt5Project\CodeEditorLite\doc\PROJECT_STRUCTURE.md", "Markdown", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 243
"d:\Qt5Project\CodeEditorLite\doc\PROPERTIES_WINDOW_DESIGN.md", "Markdown", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 159
"d:\Qt5Project\CodeEditorLite\inc\ipc\ipc_server.h", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"d:\Qt5Project\CodeEditorLite\inc\main.h", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 36
"d:\Qt5Project\CodeEditorLite\inc\project\project_manager.h", "C++", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"d:\Qt5Project\CodeEditorLite\inc\util\recent_files_manager.h", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"d:\Qt5Project\CodeEditorLite\inc\widget\editor\code_editor.h", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 71
"d:\Qt5Project\CodeEditorLite\inc\widget\errors_and_warnings\errors_and_warnings.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\Qt5Project\CodeEditorLite\inc\widget\ipc_message\ipc_message.h", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"d:\Qt5Project\CodeEditorLite\inc\widget\main_window\main_window.h", "C++", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 139
"d:\Qt5Project\CodeEditorLite\inc\widget\navigator\navigator.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\Qt5Project\CodeEditorLite\inc\widget\print\print_wizard.h", "C++", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 71
"d:\Qt5Project\CodeEditorLite\inc\widget\print\print_wizard_page_layout.h", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 62
"d:\Qt5Project\CodeEditorLite\inc\widget\print\print_wizard_page_output.h", "C++", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 51
"d:\Qt5Project\CodeEditorLite\inc\widget\print\print_wizard_page_page_setup.h", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 60
